Gene_ID	RiboCon1	RiboCon2	RiboSil1	RiboSil3	TotalCon1	TotalCon2	TotalCon3	TotalSil1	TotalSil2	TotalSil3
ENSG00000011677.7	0	0	0	0	15	20	5	20	7	0
ENSG00000012048.14	123	76	143	105	16101	21091	15977	12213	17513	14761
ENSG00000012061.11	190	128	170	183	14829	20004	13425	11085	15105	13075
ENSG00000012124.9	0	0	0	0	0	0	0	0	0	0
ENSG00000012174.7	37	29	45	35	2591	3049	2587	1814	2735	2216
ENSG00000012211.8	10	6	4	9	3160	4354	3063	2514	3390	2833
ENSG00000012223.7	0	0	1	0	34	71	46	43	36	59
ENSG00000012232.4	56	27	28	23	9285	11692	8851	7041	9878	8447
ENSG00000012504.9	0	0	0	0	0	0	0	0	0	0
ENSG00000012660.9	1456	962	1439	1037	91841	113428	86150	64729	97037	75435
ENSG00000012779.5	0	0	0	0	5	4	2	6	8	6
ENSG00000012817.10	84	54	100	84	20324	25912	20146	15045	20784	19223
ENSG00000012822.10	9	18	16	9	1734	2180	1713	1161	1741	1415
ENSG00000012963.9	333	231	421	303	33728	42379	32452	24717	35750	30150
ENSG00000012983.6	50	55	57	46	10875	14350	11380	8250	12425	10205
ENSG00000013016.10	4	4	2	2	792	1012	770	587	838	708
ENSG00000013275.2	532	353	515	450	28817	37285	26671	21835	29782	26039
ENSG00000013288.4	48	34	46	49	7358	9548	7400	5757	7500	6547
ENSG00000013293.4	0	0	0	0	0	0	0	0	0	0
ENSG00000013297.5	0	0	0	0	2	4	2	0	0	0
ENSG00000013306.11	81	58	52	95	21881	29278	20139	17211	22516	19960
ENSG00000013364.14	21	23	30	35	3137	4162	2933	2358	3151	2761
ENSG00000013374.11	202	211	315	232	21272	27231	20395	15623	23005	18740
ENSG00000013375.9	8	13	17	19	2824	3646	2801	2226	2992	2522
ENSG00000013392.5	3	2	0	5	316	385	285	268	390	325
ENSG00000013441.11	189	124	158	140	23288	29598	21502	16794	25673	20539
ENSG00000013503.4	82	74	138	70	6575	8455	6540	4885	7381	6320
ENSG00000013523.5	28	31	32	39	3902	4982	3538	2984	4014	3731
ENSG00000013561.13	38	24	12	44	8024	9898	7540	5690	8749	7043
ENSG00000013563.8	5	3	9	0	743	946	714	723	763	692
ENSG00000013573.12	11	15	13	9	27040	36282	26275	22475	28962	25831
ENSG00000013583.4	4	0	5	0	120	95	87	77	84	101
ENSG00000013588.5	0	0	0	0	0	0	0	0	0	2
ENSG00000013619.9	0	0	0	0	4	0	2	2	0	2
ENSG00000013725.10	176	124	179	101	19157	25832	18312	14930	19245	16763
ENSG00000013810.14	490	381	472	408	44046	58649	40999	33349	43791	36209
ENSG00000014123.9	172	105	180	135	10842	13174	11028	7533	11527	9372
ENSG00000014138.4	225	159	204	191	20452	27258	19931	15964	22275	19165
ENSG00000014164.6	68	41	84	90	6586	8758	6108	5224	6566	5817
ENSG00000014216.10	346	228	357	290	28850	38406	26699	22008	29663	26205
ENSG00000014257.11	0	0	0	0	0	0	0	0	0	0
ENSG00000014641.13	754	529	744	673	45139	57313	42846	32789	47784	38981
ENSG00000014824.8	83	66	89	67	9768	12239	9885	6783	10643	8313
ENSG00000014914.15	0	3	0	0	32	54	76	47	83	75
ENSG00000014919.7	122	76	139	68	6962	9225	6612	5194	7442	6208
ENSG00000015133.14	220	168	211	237	31391	40281	30431	24097	32438	29243
ENSG00000015153.10	97	58	88	73	3966	5043	3709	3029	4389	3611
ENSG00000015171.13	123	76	92	115	13530	16883	13283	9692	14765	11998
ENSG00000015285.6	249	202	211	229	17064	22568	15542	13549	16666	14890
ENSG00000015413.5	2	1	0	2	89	122	115	96	71	69
ENSG00000015475.14	433	303	282	353	21659	29056	21184	16191	23353	19952
ENSG00000015479.13	763	517	724	608	134484	170340	134392	96201	148425	119481
ENSG00000015520.10	0	0	0	0	3	1	0	12	4	1
ENSG00000015532.5	32	19	39	42	4072	5555	3887	3327	4254	3857
ENSG00000015568.7	0	2	0	0	5	12	15	7	29	11
ENSG00000015592.12	0	0	0	0	8	18	3	5	3	4
ENSG00000015676.12	91	100	111	93	12871	16413	12421	9655	13942	11845
ENSG00000016082.10	0	0	0	0	0	0	0	0	0	0
ENSG00000016391.5	0	0	0	0	33	41	43	25	53	34
ENSG00000016402.8	0	0	0	0	0	0	0	0	0	0
ENSG00000016490.10	0	0	0	0	2	4	0	2	0	0
ENSG00000016602.8	0	0	0	0	0	0	0	0	0	2
ENSG00000016864.12	51	56	43	51	7186	9257	7123	5555	7856	6509
ENSG00000017260.14	222	174	191	149	21394	27406	21415	15628	23393	19038
ENSG00000017373.11	0	0	0	0	4	2	13	4	5	3
ENSG00000017427.11	0	0	0	0	0	2	0	0	0	3
ENSG00000017483.10	176	104	98	87	11512	14932	10460	9056	12096	10161
ENSG00000017621.11	1	1	0	1	106	144	107	76	109	101
ENSG00000017797.7	61	24	41	24	15953	20186	15190	11711	17722	14403
ENSG00000018189.7	87	66	96	78	14638	19372	15015	11367	16066	14141
ENSG00000018236.9	0	0	0	0	1	0	3	0	0	0
ENSG00000018280.12	0	0	0	2	21	59	18	12	30	32
ENSG00000018408.10	0	0	0	0	54	46	31	27	37	25
ENSG00000018510.8	182	150	207	146	14555	18490	14781	10326	15660	12604
ENSG00000018610.8	24	13	26	24	5779	7088	5299	3991	5915	4904
ENSG00000018625.10	0	0	0	0	3	8	2	0	1	0
ENSG00000018699.7	115	92	124	97	8800	11801	8668	6523	9282	7897
ENSG00000018869.11	16	7	25	20	1397	1568	1314	1032	1493	1218
ENSG00000019102.7	0	0	0	0	0	0	0	0	0	0
ENSG00000019144.12	0	0	0	0	2	13	6	6	7	15
ENSG00000019169.8	0	0	0	0	0	0	0	0	0	0
ENSG00000019186.5	0	0	0	0	0	0	0	0	0	0
ENSG00000019485.8	3	0	0	2	134	191	132	124	160	107
ENSG00000019505.3	0	0	0	0	0	0	0	0	0	0
ENSG00000019549.4	0	0	0	0	0	0	0	0	0	0
ENSG00000019582.10	0	0	1	0	21	25	20	10	34	18
ENSG00000019991.11	0	0	0	0	0	0	2	0	0	0
